weight_id,w_gmic,w_nyu,w_glam,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason,diagnostic_only,eligible_for_freeze
W04,0.3,0.3,0.4,T04,0.7,0.13775600000000002,analysis_score_quantile,False,2444,982,55,89,0.6180555555555556,,0.7133683596030356,,0.08309990662931839,,0.9779911964785915,,0.28663164039696437,0.7095238095238096,0.6657119575792956,0.14650205761316873,,0.7150385937601349,,0.14033441807203845,0.14033441807203845,average_precision_score,,True,False
W04,0.3,0.3,0.4,T05,0.9,0.30586099999999994,analysis_score_quantile,False,3112,314,101,43,0.2986111111111111,,0.9083479276123759,,0.12044817927170869,,0.9685652038593215,,0.09165207238762405,0.8837535014005602,0.6034795193617435,0.17165668662674652,,0.7150385937601349,,0.14033441807203845,0.14033441807203845,average_precision_score,,True,False
W05,0.5,0.25,0.25,T01,0.1,0.015175,analysis_score_quantile,False,348,3078,8,136,0.9444444444444444,,0.10157618213660245,,0.042314872433105166,,0.9775280898876404,,0.8984238178633975,0.13557422969187674,0.5230103132905234,0.08100059559261465,,0.7120923736784068,,0.1288000383472501,0.1288000383472501,average_precision_score,,True,False
W05,0.5,0.25,0.25,T02,0.3,0.0339025,analysis_score_quantile,False,1055,2371,16,128,0.8888888888888888,,0.3079392877991827,,0.051220488195278115,,0.9850606909430439,,0.6920607122008173,0.33137254901960783,0.5984140883440358,0.09685962920923194,,0.7120923736784068,,0.1288000383472501,0.1288000383472501,average_precision_score,,True,False
W05,0.5,0.25,0.25,T03,0.5,0.063875,analysis_score_quantile,False,1759,1667,25,119,0.8263888888888888,,0.513426736719206,,0.06662933930571109,,0.9859865470852018,,0.4865732632807939,0.5260504201680672,0.6699078128040474,0.12331606217616581,,0.7120923736784068,,0.1288000383472501,0.1288000383472501,average_precision_score,,True,False
W05,0.5,0.25,0.25,T04,0.7,0.15475,analysis_score_quantile,False,2444,982,54,90,0.625,,0.7133683596030356,,0.08395522388059702,,0.978382706164932,,0.28663164039696437,0.7098039215686275,0.6691841798015178,0.14802631578947367,,0.7120923736784068,,0.1288000383472501,0.1288000383472501,average_precision_score,,True,False
W05,0.5,0.25,0.25,T05,0.9,0.5,analysis_score_quantile,False,2873,553,102,42,0.2916666666666667,,0.8385872737886748,,0.07058823529411765,,0.9657142857142857,,0.16141272621132516,0.8165266106442577,0.5651269702276708,0.11366711772665765,,0.7120923736784068,,0.1288000383472501,0.1288000383472501,average_precision_score,,True,False
W06,0.25,0.5,0.25,T01,0.1,0.01852,analysis_score_quantile,False,347,3079,10,134,0.9305555555555556,,0.10128429655575015,,0.041705571117335825,,0.9719887955182073,,0.8987157034442499,0.13473389355742296,0.5159199260556528,0.07983318439082514,,0.7159851949147045,,0.13093452300484712,0.13093452300484712,average_precision_score,,True,False
W06,0.25,0.5,0.25,T02,0.3,0.035925,analysis_score_quantile,False,1054,2372,15,129,0.8958333333333334,,0.3076474022183304,,0.05157936825269892,,0.9859681945743686,,0.6923525977816696,0.33137254901960783,0.601740367775832,0.09754253308128544,,0.7159851949147045,,0.13093452300484712,0.13093452300484712,average_precision_score,,True,False
W06,0.25,0.5,0.25,T03,0.5,0.063,analysis_score_quantile,False,1763,1663,22,122,0.8472222222222222,,0.5145942790426153,,0.06834733893557422,,0.9876750700280112,,0.4854057209573847,0.5280112044817927,0.6809082506324188,0.12649040953862103,,0.7159851949147045,,0.13093452300484712,0.13093452300484712,average_precision_score,,True,False
W06,0.25,0.5,0.25,T04,0.7,0.14468999999999999,analysis_score_quantile,False,2444,982,55,89,0.6180555555555556,,0.7133683596030356,,0.08309990662931839,,0.9779911964785915,,0.28663164039696437,0.7095238095238096,0.6657119575792956,0.14650205761316873,,0.7159851949147045,,0.13093452300484712,0.13093452300484712,average_precision_score,,True,False
W06,0.25,0.5,0.25,T05,0.9,0.29480749999999983,analysis_score_quantile,False,3114,312,99,45,0.3125,,0.9089316987740805,,0.12605042016806722,,0.969187675070028,,0.09106830122591944,0.8848739495798319,0.6107158493870403,0.17964071856287425,,0.7159851949147045,,0.13093452300484712,0.13093452300484712,average_precision_score,,True,False
W07,0.25,0.25,0.5,T01,0.1,0.013600000000000001,analysis_score_quantile,False,349,3077,8,136,0.9444444444444444,,0.10186806771745475,,0.042328042328042326,,0.9775910364145658,,0.8981319322825453,0.13585434173669467,0.5231562560809496,0.08102472445635985,,0.7163216741259648,,0.14992051632348455,0.14992051632348455,average_precision_score,,True,False
W07,0.25,0.25,0.5,T02,0.3,0.029725,analysis_score_quantile,False,1055,2371,15,129,0.8958333333333334,,0.3079392877991827,,0.0516,,0.985981308411215,,0.6920607122008173,0.33165266106442576,0.6018863105662581,0.09757942511346444,,0.7163216741259648,,0.14992051632348455,0.14992051632348455,average_precision_score,,True,False
