weight_id,threshold_id,threshold_quantile,w_gmic,w_nyu,w_glam,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_ppv_mean,precision_ppv_std,npv_mean,npv_std,fpr_mean,fpr_std,accuracy_mean,accuracy_std,f1_mean,f1_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,threshold_mean,threshold_std,full_configuration_threshold,baseline_distance,is_best_auc_weight
W19,T07,0.7,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.6552137239779591,0.04415949199153848,0.6253694581280789,0.08036315871258704,0.6850579898278394,0.01665883024051495,0.07722504517949427,0.011089684621752364,0.9774849534306982,0.005129622357573926,0.3149420101721606,0.01665883024051492,0.6826330532212885,0.017537788058821883,0.13743870861861263,0.019330276886924822,469.4,11.32695899171529,215.8,11.45425685062108,10.8,2.3874672772626644,18.0,2.2360679774997902,0.1,0.0,0.1,0.5354121154157796,False
W19,T04,0.4,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.6361321793828458,0.016457408071037315,0.8615763546798029,0.04122949656881961,0.4106880040858888,0.013700434159260658,0.057862266937211214,0.001342013122114588,0.9860653409286663,0.00403501243056229,0.5893119959141112,0.01370043415926072,0.4288515406162465,0.012225855934339053,0.10843471418842199,0.0025709382259966936,281.4,9.262828941527529,403.8,9.57601169589929,4.0,1.224744871391589,24.8,0.8366600265340757,0.03696,0.00020161845153656251,0.036938,0.5840312912661443,False
W19,T09,0.85,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.6317413495907874,0.027020151726799894,0.4027093596059113,0.04513172956110518,0.8607733395756634,0.014657817685967332,0.10952875492210587,0.019469535245884236,0.9716499138127765,0.0023316035655902563,0.13922666042433657,0.014657817685967321,0.842296918767507,0.01497355435395423,0.17198811974251277,0.027512231420323118,589.8,9.909591313470006,95.4,10.064790112068906,17.2,1.3038404810405297,11.6,1.3416407864998738,0.1601235,0.0034294631504070737,0.16106800000000002,0.49146824308189024,False
W19,T03,0.3,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5986775347296878,0.023754134347009345,0.8894088669950738,0.05624992416699976,0.3079462024643017,0.013283084274831831,0.051209338859450046,0.002169701732111728,0.985280732145829,0.00729951834334062,0.6920537975356983,0.01328308427483178,0.3313725490196079,0.011617053979455321,0.0968375782155399,0.004156724926214795,211.0,8.972179222463183,474.2,9.418067742376886,3.2,1.6431676725154984,25.6,1.341640786499874,0.027724,0.00019060430215501486,0.027721,0.5913658657506367,False
W19,T10,0.9,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.597530433193737,0.03103584500627595,0.29137931034482756,0.05041445350763257,0.9036815560426465,0.012769376368268609,0.11535809004068767,0.03327449171262579,0.9680865159471944,0.002371857704009936,0.09631844395735353,0.012769376368268607,0.8789915966386556,0.013886044322627942,0.16492524366749234,0.0419653839388361,619.2,8.526429498916883,66.0,8.77496438739212,20.4,1.3416407864998738,8.4,1.51657508881031,0.25,0.0,0.25,0.43493233190233166,False
W19,T11,0.92,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.597530433193737,0.03103584500627595,0.29137931034482756,0.05041445350763257,0.9036815560426465,0.012769376368268609,0.11535809004068767,0.03327449171262579,0.9680865159471944,0.002371857704009936,0.09631844395735353,0.012769376368268607,0.8789915966386556,0.013886044322627942,0.16492524366749234,0.0419653839388361,619.2,8.526429498916883,66.0,8.77496438739212,20.4,1.3416407864998738,8.4,1.51657508881031,0.25,0.0,0.25,0.43493233190233166,False
W19,T12,0.94,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.597530433193737,0.03103584500627595,0.29137931034482756,0.05041445350763257,0.9036815560426465,0.012769376368268609,0.11535809004068767,0.03327449171262579,0.9680865159471944,0.002371857704009936,0.09631844395735353,0.012769376368268607,0.8789915966386556,0.013886044322627942,0.16492524366749234,0.0419653839388361,619.2,8.526429498916883,66.0,8.77496438739212,20.4,1.3416407864998738,8.4,1.51657508881031,0.25,0.0,0.25,0.43493233190233166,False
W19,T13,0.95,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5969417364587055,0.02480968898257554,0.23620689655172417,0.04545319422918645,0.9576765763656871,0.0042562587498520725,0.19163254163254162,0.047287851647696895,0.9675575689978311,0.002149841786942613,0.042323423634312955,0.004256258749852097,0.9285714285714286,0.005942073791483571,0.21146486577938192,0.04677167613265369,656.2,2.949576240750528,29.0,2.9154759474226504,22.0,1.414213562373095,6.8,1.3038404810405297,0.25652149999999996,0.000784905647195911,0.2566979999999999,0.43111714943620605,False
W19,T14,0.96,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5804066809565148,0.036658116735886315,0.19408866995073892,0.07058272752544667,0.9667246919622906,0.0054060019736502625,0.19809308338720105,0.07415173823429842,0.9661605472753886,0.0028058479232076507,0.03327530803770935,0.005406001973650275,0.9355742296918768,0.007002801120448154,0.1957297283613073,0.07210036475514464,662.4,3.7815340802377997,22.8,3.7013511046643495,23.2,1.9235384061671346,5.6,2.073644135332772,0.2913859999999996,0.003841521313229676,0.2915891999999998,0.41243326113522905,False
W19,T15,0.97,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5709925011319116,0.03693930635002762,0.1665024630541872,0.07433365324113866,0.9754825392096359,0.006049097950922281,0.21936035741527732,0.08595276591639107,0.96534651671729,0.0029192373668357604,0.024517460790364112,0.006049097950922318,0.9428571428571428,0.006056512131775792,0.18784721470479987,0.07951971198618207,668.4,4.037325847637264,16.8,4.147288270665544,24.0,2.1213203435596424,4.8,2.1679483388678804,0.34037319999999993,0.009524863329728185,0.3404231999999995,0.39003959854384035,False
W19,T16,0.98,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5545577656469801,0.03552836456619456,0.12487684729064039,0.07125637473808151,0.9842386840033198,0.003914359893742,0.24535087719298243,0.10183923413454411,0.9639866375728223,0.0028201132772841873,0.015761315996680215,0.003914359893741985,0.9495798319327731,0.004428960308359081,0.16355529861202012,0.08258473716358446,674.4,2.607680962081055,10.8,2.6832815729997477,25.2,2.04939015319192,3.6,2.073644135332772,0.4142680000000002,0.007355733580004039,0.4122809999999999,0.366552528698139,False
W19,T02,0.2,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.553617754390239,0.017505416665222782,0.9032019704433498,0.05077417589727592,0.2040335383371284,0.01805100453411956,0.04548531104006735,0.001258341218913549,0.9809351003502982,0.008500118171241636,0.7959664616628717,0.018051004534119557,0.2322128851540616,0.015733721759085273,0.08660498110666819,0.002485123162529799,139.8,12.316655390161728,545.4,12.581732790041276,2.8,1.4832396974191326,26.0,1.224744871391589,0.019728000000000002,0.0002764416755845617,0.019694,0.5977959409112779,False
W19,T17,0.99,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5340908126941403,0.031118230409015915,0.07635467980295566,0.0616255960748611,0.9918269455853249,0.003027991040803299,0.2571428571428572,0.20677306894471612,0.9623369935427633,0.0025033467128716576,0.008173054414675151,0.0030279910408032885,0.9549019607843137,0.004248109492465889,0.1173824373824374,0.09437282837005874,679.6,2.19089023002067,5.6,2.0736441353327724,26.6,1.8165902124584952,2.2,1.7888543819998317,0.5302206999999992,0.007395893460225531,0.5337099999999997,0.3574947516174188,False
W19,T01,0.1,0.1,0.3,0.6,0.7231219011333583,0.040822092439642105,0.15511417272814876,0.04620314079941435,0.15511417272814876,0.04620314079941435,0.5196312389973429,0.022495887838229825,0.9376847290640395,0.044774097899933134,0.10157774893064628,0.013575467268198839,0.042019780344306944,0.0018895082688560282,0.9748432313340059,0.017567454746303036,0.8984222510693536,0.013575467268198853,0.13529411764705884,0.013010895420160897,0.08043352961681807,0.00360552556684395,69.6,9.289779329994875,615.6,9.396807968666808,1.8,1.3038404810405297,27.0,1.224744871391589,0.013312,0.00014197711083128867,0.013309999999999999,0.6029372184846445,False
W18,T06,0.6,0.1,0.2,0.7,0.7229116386714026,0.04096868875850002,0.15459169706274034,0.0544024672919515,0.15459169706274034,0.0544024672919515,0.6715297683562296,0.029441113721214475,0.7298029556650246,0.06410805339527383,0.6132565810474346,0.01350738703554583,0.07342041220381909,0.004705146394611522,0.9818212826104904,0.004311307332792998,0.38674341895256537,0.01350738703554584,0.6179271708683474,0.012023628028758927,0.13339672297484345,0.00864665728086695,420.2,9.06642156531451,265.0,9.380831519646854,7.8,1.9235384061671346,21.0,1.5811388300841898,0.06429599999999999,0.0006154916733799095,0.064294,0.6296869474349932,False
W18,T08,0.8,0.1,0.2,0.7,0.7229116386714026,0.04096868875850002,0.15459169706274034,0.0544024672919515,0.15459169706274034,0.0544024672919515,0.6710984825414111,0.03784054499180216,0.527832512315271,0.07478726492380032,0.8143644527675512,0.011005746125908595,0.1068750581454961,0.015259176842382309,0.9762174759183815,0.0037462810231505238,0.18563554723244877,0.01100574612590859,0.8028011204481793,0.010911793378589644,0.17767012390183673,0.024913712491190423,558.0,7.314369419163908,127.2,7.596051605933174,13.6,2.1908902300206643,15.2,2.1679483388678804,0.114838,0.0006768825599762526,0.114782,0.595868140495865,False
W18,T05,0.5,0.1,0.2,0.7,0.7229116386714026,0.04096868875850002,0.15459169706274034,0.0544024672919515,0.15459169706274034,0.0544024672919515,0.6702612752698792,0.03291775000389469,0.8270935960591134,0.07228130368285589,0.5134289544806452,0.006684340937357454,0.06657399465807552,0.0038435491914282196,0.9860671845496445,0.005682937679737675,0.48657104551935476,0.006684340937357445,0.5260504201680672,0.0037841053462482487,0.12322246577048288,0.0073751472897675835,351.8,4.43846820423443,333.4,4.7222875812470395,5.0,2.1213203435596424,23.8,1.7888543819998317,0.045306,0.00026721714016881496,0.045405,0.6429016622773656,False
