fold,weight_id,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,w_gmic,w_nyu,w_glam,training_studies,validation_studies,training_malignant,validation_malignant,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason
1,W35,T08,0.8,0.31893000000000005,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,547,139,14,14,0.5,,0.7973760932944607,,0.0915032679738562,,0.9750445632798574,,0.20262390670553937,0.7857142857142857,0.6486880466472303,0.15469613259668508,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T09,0.85,0.5,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,568,118,19,9,0.32142857142857145,,0.8279883381924198,,0.07086614173228346,,0.9676320272572402,,0.17201166180758018,0.8081232492997199,0.5747084548104956,0.11612903225806452,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T10,0.9,0.5,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,568,118,19,9,0.32142857142857145,,0.8279883381924198,,0.07086614173228346,,0.9676320272572402,,0.17201166180758018,0.8081232492997199,0.5747084548104956,0.11612903225806452,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T11,0.92,0.50087,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,628,58,22,6,0.21428571428571427,,0.9154518950437318,,0.09375,,0.9661538461538461,,0.08454810495626822,0.8879551820728291,0.564868804664723,0.13043478260869565,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T12,0.94,0.5596819999999983,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,23,5,0.17857142857142858,,0.9329446064139941,,0.09803921568627451,,0.9653092006033183,,0.06705539358600583,0.9033613445378151,0.5557580174927114,0.12658227848101267,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T13,0.95,0.7,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,26,2,0.07142857142857142,,0.9329446064139941,,0.041666666666666664,,0.960960960960961,,0.06705539358600583,0.8991596638655462,0.5021865889212828,0.05263157894736842,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T14,0.96,0.7,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,26,2,0.07142857142857142,,0.9329446064139941,,0.041666666666666664,,0.960960960960961,,0.06705539358600583,0.8991596638655462,0.5021865889212828,0.05263157894736842,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T15,0.97,0.7,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,26,2,0.07142857142857142,,0.9329446064139941,,0.041666666666666664,,0.960960960960961,,0.06705539358600583,0.8991596638655462,0.5021865889212828,0.05263157894736842,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T16,0.98,0.7,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,26,2,0.07142857142857142,,0.9329446064139941,,0.041666666666666664,,0.960960960960961,,0.06705539358600583,0.8991596638655462,0.5021865889212828,0.05263157894736842,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W35,T17,0.99,0.7,cv_training_fold_score_quantile,False,0.5,0.4,0.1,2856,714,116,28,640,46,26,2,0.07142857142857142,,0.9329446064139941,,0.041666666666666664,,0.960960960960961,,0.06705539358600583,0.8991596638655462,0.5021865889212828,0.05263157894736842,,0.7414879216992919,,0.11666082652556743,0.11666082652556743,average_precision_score,
1,W36,T01,0.1,0.012905,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,73,613,0,28,1.0,,0.10641399416909621,,0.0436817472698908,,1.0,,0.8935860058309038,0.14145658263305322,0.5532069970845481,0.08370702541106129,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T02,0.2,0.02043,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,124,562,1,27,0.9642857142857143,,0.18075801749271136,,0.04584040747028863,,0.992,,0.8192419825072886,0.211484593837535,0.5725218658892128,0.08752025931928688,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T03,0.3,0.031129999999999998,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,187,499,2,26,0.9285714285714286,,0.2725947521865889,,0.049523809523809526,,0.9894179894179894,,0.7274052478134111,0.29831932773109243,0.6005830903790088,0.09403254972875226,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T04,0.4,0.04175,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,272,414,2,26,0.9285714285714286,,0.3965014577259475,,0.05909090909090909,,0.9927007299270073,,0.6034985422740525,0.4173669467787115,0.6625364431486881,0.1111111111111111,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T05,0.5,0.06107,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,350,336,4,24,0.8571428571428571,,0.5102040816326531,,0.06666666666666667,,0.9887005649717514,,0.4897959183673469,0.5238095238095238,0.6836734693877551,0.12371134020618557,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T06,0.6,0.09066,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,413,273,7,21,0.75,,0.6020408163265306,,0.07142857142857142,,0.9833333333333333,,0.3979591836734694,0.6078431372549019,0.6760204081632653,0.13043478260869565,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T07,0.7,0.15255,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,483,203,10,18,0.6428571428571429,,0.7040816326530612,,0.08144796380090498,,0.9797160243407708,,0.29591836734693877,0.7016806722689075,0.6734693877551021,0.14457831325301204,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T08,0.8,0.32261,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,547,139,14,14,0.5,,0.7973760932944607,,0.0915032679738562,,0.9750445632798574,,0.20262390670553937,0.7857142857142857,0.6486880466472303,0.15469613259668508,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T09,0.85,0.6,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,572,114,19,9,0.32142857142857145,,0.8338192419825073,,0.07317073170731707,,0.9678510998307953,,0.1661807580174927,0.8137254901960784,0.5776239067055394,0.11920529801324503,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T10,0.9,0.6,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,572,114,19,9,0.32142857142857145,,0.8338192419825073,,0.07317073170731707,,0.9678510998307953,,0.1661807580174927,0.8137254901960784,0.5776239067055394,0.11920529801324503,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T11,0.92,0.6,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,572,114,19,9,0.32142857142857145,,0.8338192419825073,,0.07317073170731707,,0.9678510998307953,,0.1661807580174927,0.8137254901960784,0.5776239067055394,0.11920529801324503,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T12,0.94,0.6120619999999996,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,640,46,23,5,0.17857142857142858,,0.9329446064139941,,0.09803921568627451,,0.9653092006033183,,0.06705539358600583,0.9033613445378151,0.5557580174927114,0.12658227848101267,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T13,0.95,0.65,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,640,46,24,4,0.14285714285714285,,0.9329446064139941,,0.08,,0.963855421686747,,0.06705539358600583,0.9019607843137255,0.5379008746355685,0.10256410256410256,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T14,0.96,0.65,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,640,46,24,4,0.14285714285714285,,0.9329446064139941,,0.08,,0.963855421686747,,0.06705539358600583,0.9019607843137255,0.5379008746355685,0.10256410256410256,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
1,W36,T15,0.97,0.65,cv_training_fold_score_quantile,False,0.6,0.1,0.3,2856,714,116,28,640,46,24,4,0.14285714285714285,,0.9329446064139941,,0.08,,0.963855421686747,,0.06705539358600583,0.9019607843137255,0.5379008746355685,0.10256410256410256,,0.7377655143690128,,0.18424058325448464,0.18424058325448464,average_precision_score,
