chunk,model,elapsed_seconds,monitoring_samples,avg_cpu_percent,max_memory_mib,avg_gpu_util_percent,max_gpu_memory_mib
29,glam,412.3829379729869,133,166.66909774436093,,3.593984962406015,2941.0
30,gmic,475.9727167089877,153,150.71882352941176,,2.450980392156863,2700.0
30,nyu,64.89877147600055,21,441.4771428571429,,5.476190476190476,2731.0
30,glam,397.8671130530129,128,159.12515625,,3.65625,2941.0
31,gmic,495.5072833439917,159,160.19238993710692,,2.610062893081761,2699.0
31,nyu,72.97610464398167,24,451.20458333333335,,1.9583333333333333,2731.0
31,glam,417.5940551949898,134,170.75231343283582,,2.156716417910448,2941.0
32,gmic,486.8600479559973,156,161.47705128205126,,2.275641025641025,2699.0
32,nyu,77.33349538300536,25,461.9716,,1.52,2737.0
32,glam,409.6063105920039,132,171.44719696969696,,4.098484848484849,3090.0
33,gmic,483.63728771402384,156,154.00948717948717,,2.3205128205128207,2767.0
33,nyu,64.71178732599947,21,474.5971428571428,,1.9047619047619049,2799.0
33,glam,404.8731091470109,130,164.92476923076924,,3.2,3009.0
34,gmic,485.0803123319929,156,154.5126923076923,,2.9743589743589745,2768.0
34,nyu,68.14807683898835,22,447.8018181818181,,2.227272727272727,2799.0
34,glam,408.19929513399256,131,166.76312977099238,,4.541984732824427,3009.0
35,gmic,483.4548529009917,155,155.7476129032258,,2.070967741935484,2768.0
35,nyu,69.19777882500784,22,452.4581818181818,,0.5,2799.0
35,glam,406.6427385210118,131,165.33053435114502,,3.480916030534351,3009.0
36,gmic,486.29263814000296,156,160.14442307692306,,2.2051282051282053,2767.0
36,nyu,78.2108034400153,25,448.0256,,1.6,2802.0
36,glam,412.00442217101227,132,169.49462121212122,,3.083333333333333,3150.0
37,gmic,474.71105239499593,153,148.3051633986928,,1.712418300653595,2794.0
37,nyu,60.76998745900346,20,444.7205,,2.85,2826.0
37,glam,399.3753878719872,128,159.48921875,,3.140625,3036.0
38,gmic,484.6688905069896,156,151.7828205128205,,2.8846153846153846,2796.0
38,nyu,68.89908965400537,22,434.21,,0.9545454545454546,2829.0
38,glam,408.9861761080101,132,158.3571212121212,,2.2045454545454546,3038.0
39,gmic,476.0169261510018,153,149.42150326797386,,1.6013071895424835,2797.0
39,nyu,64.94524353599991,21,426.95666666666665,,0.9523809523809524,2829.0
39,glam,399.3956099780044,129,158.0839534883721,,4.651162790697675,3039.0
40,gmic,492.0554172040138,158,155.4777848101266,,2.7088607594936707,2910.0
40,nyu,73.11936350597534,24,434.2191666666667,,1.9583333333333333,2778.0
40,glam,413.274120270973,133,165.8887969924812,,4.481203007518797,2986.0
41,gmic,485.2325296899944,156,156.72153846153847,,1.25,2744.0
41,nyu,72.12276445698808,23,465.4739130434783,,1.608695652173913,2777.0
41,glam,407.13898089301074,131,166.5185496183206,,3.0,2986.0
42,gmic,476.1651694480097,153,149.34143790849674,,2.183006535947712,2744.0
42,nyu,57.08267446499667,19,451.6678947368421,,2.1578947368421053,2777.0
42,glam,396.22906919100205,127,157.60188976377952,,3.645669291338583,2987.0
43,gmic,486.856306370988,157,156.13719745222932,,2.4585987261146496,2745.0
43,nyu,72.96203277099994,24,436.3533333333333,,0.8333333333333334,2777.0
43,glam,408.9999346119876,131,167.67549618320612,,3.099236641221374,2986.0
44,gmic,480.0678574290069,154,155.57727272727274,,4.935064935064935,2865.0
44,nyu,66.65307413600385,22,442.0390909090909,,2.4545454545454546,2820.0
44,glam,403.3614644030167,130,163.07661538461537,,3.692307692307693,3029.0
45,gmic,490.84736331700697,158,159.22708860759494,,2.0632911392405062,2787.0
45,nyu,73.40312916299445,24,483.14416666666665,,2.208333333333333,2822.0
45,glam,416.9261155670101,134,169.34395522388058,,4.037313432835821,3029.0
46,gmic,484.4302978439955,156,160.6571794871795,,1.6346153846153846,2787.0
46,nyu,74.87813686198206,24,464.6695833333333,,0.625,2819.0
46,glam,410.6557805069897,132,174.28613636363636,,1.9696969696969695,3032.0
47,gmic,495.612614134996,159,162.13182389937106,,2.6540880503144653,2787.0
47,nyu,84.02666507099639,27,438.5374074074074,,0.6296296296296297,2824.0
47,glam,420.64006736999727,135,173.4288888888889,,4.903703703703704,3148.0
48,gmic,478.1615075049922,154,148.15207792207792,,2.51948051948052,2761.0
48,nyu,59.5074293850048,19,438.7984210526316,,1.0526315789473684,2794.0
48,glam,399.6721562320017,129,154.475503875969,,4.472868217054264,3110.0
49,gmic,489.09870210601366,157,144.21490445859874,,1.9872611464968155,2860.0
49,nyu,52.556535359006375,17,463.5629411764706,,2.3529411764705883,2714.0
